source_path,target_path,status_code,reason
/home-pages/home-v1,/,301,Home variant consolidated to canonical homepage
/home-pages/home-v2,/,301,Home variant consolidated to canonical homepage
/home-pages/home-v3,/,301,Home variant consolidated to canonical homepage
/service-pages/services,/services,301,Template services hub moved to business URL model
/portfolio-pages/portfolio,/projects,301,Portfolio hub renamed to projects hub
/portfolio/house-architecture-design-in-los-angeles-ca,/projects/house-architecture-design-in-los-angeles-ca,301,Project detail path normalized
/blog-pages/blog-v1,/blog,301,Template blog variant consolidated to blog hub
/blog-pages/blog-v2,/blog,301,Template blog variant consolidated to blog hub
/blog-pages/blog-v3,/blog,301,Template blog variant consolidated to blog hub
/blog-posts/how-to-give-maintenance-to-your-wooden-furniture-the-full-guide,/blog/how-to-give-maintenance-to-your-wooden-furniture-the-full-guide,301,Blog detail path normalized
/company-pages/about,/about,301,Company about moved to clean about path
/company-pages/team,/about,301,Team page folded into about until dedicated team page is launched
/team/john-carter,/about,301,Template person page removed
/contact-pages/contact-v1,/contact,301,Template contact variant consolidated
/contact-pages/contact-v2,/contact,301,Template contact variant consolidated
/contact-pages/contact-v3,/contact,301,Template contact variant consolidated
/landing-pages/request-a-quote,/book,301,Quote landing normalized to booking route
/landing-pages/coming-soon,/,301,Template utility landing removed
/template-pages/start-here,/,301,Template utility page removed from public surface
/template-pages/styles-components,/,301,Template utility page removed from public surface
/template-pages/licenses,/,301,Template utility page removed from public surface
/template-pages/changelog,/,301,Template utility page removed from public surface
/401,/404,301,Normalize unsupported error route
/service-handyman-services,/services/handyman-services,301,Migrate legacy service detail path to /services/{service-slug}
/service-interior-painting,/services/interior-painting,301,Migrate legacy service detail path to /services/{service-slug}
/service-exterior-painting,/services/exterior-painting,301,Migrate legacy service detail path to /services/{service-slug}
/service-kitchen-and-cabinet-refinishing,/services/kitchen-and-cabinet-refinishing,301,Migrate legacy service detail path to /services/{service-slug}
/gallery-All,/projects,301,Consolidate legacy gallery category pages into projects hub
/gallery-Exterior-Painting,/projects,301,Consolidate legacy gallery category pages into projects hub
/gallery-Interior-Painting,/projects,301,Consolidate legacy gallery category pages into projects hub
/blog-smart-solutions-for-urban-living,/blog/smart-solutions-for-urban-living,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-from-blueprint-to-build-the,/blog/from-blueprint-to-build-the,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-elevate-your-living-space-smart,/blog/elevate-your-living-space-smart,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-seamless-transitions-integrating-modern-amenities,/blog/seamless-transitions-integrating-modern-amenities,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-creating-sanctuary-how-kingdom-construction,/blog/creating-sanctuary-how-kingdom-construction,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-masterful-upgrades-how-kingdom-construction,/blog/masterful-upgrades-how-kingdom-construction,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-revitalizing-heritage-bringing-new-life,/blog/revitalizing-heritage-bringing-new-life,301,Migrate legacy blog detail path to /blog/{post-slug}
/blog-building-dreams-how-kingdom-construction,/blog/building-dreams-how-kingdom-construction,301,Migrate legacy blog detail path to /blog/{post-slug}
