source_path,target_path,action,url_category,qa_checks,status
/,/,retain,home,target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;localbusiness_schema_present,pending
/service-handyman-services,/services/handyman-services,redirect,service_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;service_schema_present;faq_block_present;city_intent_present,pending
/service-interior-painting,/services/interior-painting,redirect,service_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;service_schema_present;faq_block_present;city_intent_present,pending
/service-exterior-painting,/services/exterior-painting,redirect,service_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;service_schema_present;faq_block_present;city_intent_present,pending
/service-kitchen-and-cabinet-refinishing,/services/kitchen-and-cabinet-refinishing,redirect,service_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;service_schema_present;faq_block_present;city_intent_present,pending
/reviews,/reviews,retain,reviews_hub,target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;review_schema_or_aggregate_present,pending
/gallery-All,/projects,redirect,gallery_legacy,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;project_mapping_approved,pending
/gallery-Exterior-Painting,/projects,redirect,gallery_legacy,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;project_mapping_approved,pending
/gallery-Interior-Painting,/projects,redirect,gallery_legacy,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;project_mapping_approved,pending
/blog,/blog,retain,blog_hub,target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blog_index_pagination_ok,pending
/blog-smart-solutions-for-urban-living,/blog/smart-solutions-for-urban-living,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-from-blueprint-to-build-the,/blog/from-blueprint-to-build-the,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-elevate-your-living-space-smart,/blog/elevate-your-living-space-smart,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-seamless-transitions-integrating-modern-amenities,/blog/seamless-transitions-integrating-modern-amenities,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-creating-sanctuary-how-kingdom-construction,/blog/creating-sanctuary-how-kingdom-construction,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-masterful-upgrades-how-kingdom-construction,/blog/masterful-upgrades-how-kingdom-construction,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-revitalizing-heritage-bringing-new-life,/blog/revitalizing-heritage-bringing-new-life,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-building-dreams-how-kingdom-construction,/blog/building-dreams-how-kingdom-construction,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-from-concept-to-reality-kingdom,/blog/from-concept-to-reality-kingdom,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-beyond-walls-how-kingdom-construction,/blog/beyond-walls-how-kingdom-construction,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-from-concept-to-reality-the,/blog/from-concept-to-reality-the,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-renovation-with-precision-kingdom-constructions,/blog/renovation-with-precision-kingdom-constructions,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-innovative-design-solutions-kingdom-constructions,/blog/innovative-design-solutions-kingdom-constructions,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-stress-free-remodeling-how-kingdom-construction,/blog/stress-free-remodeling-how-kingdom-construction,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-garden-retreats-creating-outdoor-spaces,/blog/garden-retreats-creating-outdoor-spaces,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
/blog-innovative-kitchen-and-bath-renovations,/blog/innovative-kitchen-and-bath-renovations,redirect,blog_detail,source_301_to_target;target_200;canonical_matches_target;title_unique;meta_unique;h1_present;internal_links_updated;blogposting_schema_present;author_present;publish_date_present,pending
